Name,Status,Health,Price,Description,,Use Overworld,Evolve
Potion,null,20,300,Restores 20 HP,,TRUE,FALSE
Super Potion,null,50,700,Restores 50 HP,,TRUE,FALSE
Antidote,Poison,0,100,Cures Poison,,TRUE,FALSE
Paralyze Heal,Paralysis,0,200,Cures Paralysis,,TRUE,FALSE
Awakening,Sleep,0,200,Cures Sleep,,TRUE,FALSE
Ice Heal,Freeze,0,250,Cures Freeze,,TRUE,FALSE
Burn Heal,Burn,0,250,Cures Burn,,TRUE,FALSE
Pokeball,null,0,200,Used to catch Pokemon,,FALSE,FALSE
Greatball,null,0,600,Used to catch Pokemon,,FALSE,FALSE
Ultraball,null,0,1200,Used to catch Pokemon,,FALSE,FALSE
Masterball,null,0,10000,Used to catch Pokemon,,FALSE,FALSE
Repel,null,0,350,Prevents Random Attacks,,TRUE,FALSE
Rare Candy,null,0,1000,Levels Up a Pokemon,,TRUE,FALSE
Water Stone,null,0,1000,A stone used to make certain kinds of Pokemon evolve,,TRUE,TRUE
Thunder Stone,null,0,1000,A stone used to make certain kinds of Pokemon evolve,,TRUE,TRUE
Fire Stone,null,0,1000,A stone used to make certain kinds of Pokemon evolve,,TRUE,TRUE
Leaf Stone,null,0,1000,A stone used to make certain kinds of Pokemon evolve,,TRUE,TRUE
Full Heal,null,0,1000,Levels Up a Pokemon,,TRUE,FALSE
Clefairy Doll,null,0,1000,Levels Up a Pokemon,,FALSE,FALSE
Moon Stone,null,0,1000,A stone used to make certain kinds of Pokemon evolve,,TRUE,TRUE
Lemonade,null,80,1000,Restores 80 HP,,TRUE,FALSE
Soda,null,80,1000,Restores 80 HP,,TRUE,FALSE
Water,null,80,1000,Restores 80 HP,,TRUE,FALSE
Silph Scope,null,0,1000,Silph Scope,,FALSE,FALSE
Dome Fossil,null,0,1000,Dome Fossil,,FALSE,FALSE
Helix Fossil,null,0,1000,Helix Fossil,,FALSE,FALSE
Hyper Potion,null,200,1500,Restore 200 HP,,TRUE,FALSE
Max Potion,null,300,2500,Restores 300 HP,,TRUE,FALSE
