dexnum,lvl,move,type
1,1,Growl,Normal
1,1,Tackle,Normal
1,6,Vine Whip,Grass
1,9,Leech Seed,Grass
1,20,Poison Powder,Poison
1,27,Razor Leaf,Grass
1,34,Growth,Normal
1,41,Sleep Powder,Grass
1,48,Solar Beam,Grass
2,1,Leech Seed,Grass
2,1,Growl,Normal
2,1,Tackle,Normal
2,7,Leech Seed,Grass
2,13,Vine Whip,Grass
2,22,Poison Powder,Poison
2,30,Razor Leaf,Grass
2,38,Growth,Normal
2,46,Sleep Powder,Grass
2,54,Solar Beam,Grass
3,1,Leech Seed,Grass
3,1,Vine Whip,Grass
3,1,Growl,Normal
3,1,Tackle,Normal
3,7,Leech Seed,Grass
3,13,Vine Whip,Grass
3,22,Poison Powder,Poison
3,30,Razor Leaf,Grass
3,43,Growth,Normal
3,55,Sleep Powder,Grass
3,65,Solar Beam,Grass
4,1,Growl,Normal
4,1,Scratch,Normal
4,6,Ember,Fire
4,15,Leer,Normal
4,22,Rage,Normal
4,30,Slash,Normal
4,38,Flamethrower,Fire
4,46,Fire Spin,Fire
5,1,Ember,Fire
5,1,Growl,Normal
5,1,Scratch,Normal
5,9,Ember,Fire
5,15,Leer,Normal
5,24,Rage,Normal
5,33,Slash,Normal
5,42,Flamethrower,Fire
5,56,Fire Spin,Fire
6,1,Ember,Fire
6,1,Growl,Normal
6,1,Leer,Normal
6,1,Scratch,Normal
6,9,Ember,Fire
6,15,Leer,Normal
6,24,Rage,Normal
6,36,Slash,Normal
6,46,Flamethrower,Fire
6,55,Fire Spin,Fire
7,1,Tackle,Normal
7,1,Tail Whip,Normal
7,6,Bubble,Water
7,15,Water Gun,Water
7,22,Bite,Normal
7,28,Withdraw,Water
7,35,Skull Bash,Normal
7,42,Hydro Pump,Water
8,1,Tackle,Normal
8,1,Tail Whip,Normal
8,1,Bubble,Water
8,8,Bubble,Water
8,15,Water Gun,Water
8,24,Bite,Normal
8,31,Withdraw,Water
8,39,Skull Bash,Normal
8,47,Hydro Pump,Water
9,1,Tackle,Normal
9,1,Tail Whip,Normal
9,1,Bubble,Water
9,1,Water Gun,Water
9,8,Bubble,Water
9,15,Water Gun,Water
9,24,Bite,Normal
9,31,Withdraw,Water
9,42,Skull Bash,Normal
9,52,Hydro Pump,Water
10,1,String Shot,Bug
10,1,Tackle,Normal
11,1,String Shot,Bug
11,1,Tackle,Normal
11,1,Harden,Normal
11,10,Confusion,Psychic
12,1,String Shot,Bug
12,1,Tackle,Normal
12,1,Harden,Normal
12,10,Confusion,Psychic
12,15,Poison Powder,Poison
12,16,Stun Spore,Grass
12,17,Sleep Powder,Grass
12,21,Supersonic,Normal
12,26,Whirlwind,Normal
12,32,Psybeam,Psychic
13,1,String Shot,Bug
13,1,Poison Sting,Poison
14,1,String Shot,Bug
14,1,Poison Sting,Poison
14,1,Harden,Normal
14,10,Twineedle,Bug
15,1,String Shot,Bug
15,1,Poison Sting,Poison
15,1,Harden,Normal
15,1,Fury Attack,Normal
15,10,Twineedle,Bug
15,12,Fury Attack,Normal
15,16,Focus Energy,Normal
15,25,Rage,Normal
15,30,Pin Missile,Bug
15,35,Agility,Psychic
16,1,Gust,Normal
16,5,Sand-Attack,Normal
16,12,Quick Attack,Normal
16,19,Whirlwind,Normal
16,28,Wing Attack,Flying
16,36,Agility,Psychic
16,44,Mirror Move,Flying
17,1,Gust,Normal
17,1,Sand-Attack,Normal
17,5,Sand-Attack,Normal
17,12,Quick Attack,Normal
17,21,Whirlwind,Normal
17,31,Wing Attack,Flying
17,40,Agility,Psychic
17,49,Mirror Move,Flying
18,1,Gust,Normal
18,1,Quick Attack,Normal
18,1,Sand-Attack,Normal
18,5,Sand-Attack,Normal
18,12,Quick Attack,Normal
18,21,Whirlwind,Normal
18,31,Wing Attack,Flying
