Name,Type,PP,Att.,Acc.,Category,Status,Status_Chance,Status_Target,Max_Per_Turn,Min_Per_Turn,Max_Turns,Min_Turns,Target,Chance_Stat_Change,Current_Stat_Change,Stat_Change_Amount,Priority,Heal_Percent,Damage_Recovered,Effect
Absorb,Grass,20,20,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0.5,A GRASS-type attack. It adds half the HP it drained from the target to the attacker's HP.
Acid,Poison,30,40,100,Special,null,0,enemy,1,1,1,1,enemy,0.33,Defense,-1,0,0,0,A POISON-type attack. Has a one-in-three chance of lowering the target's DEFENSE.
Acid Armor,Poison,40,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Defense,2,0,0,0,Melts the user's body for protection. A move that sharply raises DEFENSE.
Aeroblast,Flying,5,100,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,High critical hit ratio
Agility,Psychic,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Speed,2,0,0,0,A special technique that greatly boosts the user's SPEED. Can normally be used up to three times.
Amnesia,Psychic,20,-1,100,Status,null,0,enemy,1,1,1,1,self,1,"Special Attack,Special Defense",2,0,0,0,Sharply raises the user's SPECIAL stat. Also increases protection against special attacks.
Ancient Power,Rock,5,60,100,Special,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,May raise all user's stats at once
Attract,Normal,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"If opponent is the opposite gender, it's less likely to attack"
Aurora Beam,Ice,20,65,100,Special,null,0,enemy,1,1,1,1,enemy,0.33,Attack,1,0,0,0,An ICE-type attack. Has a one-in-three chance of reducing the target's ATTACK power.
Barrage,Normal,20,15,85,Physical,null,0,enemy,1,1,5,1,enemy,0,null,0,0,0,0,Several spheres are thrown consecutively at the target to inflict damage.
Barrier,Psychic,30,-1,100,Status,null,0,enemy,1,1,1,1,self,1,Defense,2,0,0,0,Instantly forms a barrier between the user and the opponent. DEFENSE is sharply increased.
Baton Pass,Normal,15,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,User Switched out and gives stat changes to the incoming Pokemon
Beat Up,Dark,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Each Pokemon in user's Party attacks
Belly Drum,Normal,10,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"User loses 50% of its max HP, but Attack raises to maximum."
Bide,Normal,10,-1,100,Physical,null,0,enemy,1,1,2,2,both,0,null,0,0,0,0,"The user waits for several turns. At the end, it returns double the damage it received."
Bind,Normal,20,15,75,Physical,null,0,enemy,1,1,5,2,enemy,0,null,0,0,0,0,Traps and squeezes the target over several turns. The target cannot move while under attack.
Bite,Normal,25,60,100,Physical,Flinch,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A bite made using sharp fangs. This may cause the opponent to flinch, and it might not attack."
Blizzard,Ice,5,120,85,Special,Freeze,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The strongest ICE-type attack. Has a one-in-ten chance of freezing the target solid.
Body Slam,Normal,15,85,100,Physical,Paralysis,0.33,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A NORMAL-type attack. Has a one-in-three chance of paralyzing the target if it connects.
Bone Club,Ground,20,65,85,Physical,Flinch,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,"A physical attack using a bone as a club. If it connects, it may cause the target to flinch."
Bone Rush,Ground,10,25,90,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Hits 2-5 times in one turn.
Bonemerang,Ground,10,50,90,Physical,null,0,enemy,1,1,2,2,enemy,0,null,0,0,0,0,A boomerang made of bone is thrown to inflict damage twice -- on the way out and on its return.
Bubble,Water,30,40,100,Special,null,0,enemy,1,1,1,1,enemy,0.3,Speed,-1,0,0,0,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.
Bubble Beam,Water,20,65,100,Special,null,0,enemy,1,1,1,1,enemy,0.33,Speed,-1,0,0,0,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.
Bug Bite,Bug,20,60,100,Physical,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,The user bites the foe. bug bites really hurt.
Charm,Normal,20,-1,100,Status,null,0,enemy,1,1,1,1,enemy,0,null,0,0,0,0,Sharply lowers opponent's Attack.
Clamp,Water,10,35,75,Physical,null,0,enemy,5,1,1,1,enemy,0,null,0,0,0,0,The target is gripped in the attacker's shell for two to five turns. It can't move while under attack.
Comet Punch,Normal,15,18,85,Physical,null,0,enemy,5,2,1,1,enemy,0,null,0,0,0,0,"Although each slap is weak, this attack hits the target two to five times in succession."
Confuse Ray,Ghost,10,-1,100,Status,Confusion,1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A sinister flash of light makes the target confused. A special GHOST-type technique.
Confusion,Psychic,25,50,100,Special,Confusion,0.1,enemy,1,1,1,1,enemy,0,null,0,0,0,0,A PSYCHIC-type attack. Has a one-in-ten chance of leaving the target confused.
Constrict,Normal,35,10,100,Physical,null,0,enemy,1,1,1,1,enemy,0.33,Speed,-1,0,0,0,A NORMAL-type attack. Has a one-in-three chance of reducing the target's SPEED.
Conversion,Normal,30,-1,100,Status,null,0,enemy,1,1,1,1,self,0,null,0,0,0,0,A special move that switches the user's elemental type to that of the target.
