DexNum,TM_HM,Move_Name,Type
1,HM01,Cut,Normal
2,HM01,Cut,Normal
3,HM01,Cut,Normal
4,HM01,Cut,Normal
5,HM01,Cut,Normal
6,HM01,Cut,Normal
15,HM01,Cut,Normal
27,HM01,Cut,Normal
28,HM01,Cut,Normal
43,HM01,Cut,Normal
44,HM01,Cut,Normal
45,HM01,Cut,Normal
46,HM01,Cut,Normal
47,HM01,Cut,Normal
69,HM01,Cut,Normal
70,HM01,Cut,Normal
71,HM01,Cut,Normal
72,HM01,Cut,Normal
73,HM01,Cut,Normal
83,HM01,Cut,Normal
98,HM01,Cut,Normal
99,HM01,Cut,Normal
108,HM01,Cut,Normal
114,HM01,Cut,Normal
123,HM01,Cut,Normal
127,HM01,Cut,Normal
151,HM01,Cut,Normal
50,HM01Y,Cut,Normal
51,HM01Y,Cut,Normal
141,HM01Y,Cut,Normal
16,HM02,Fly,Flying
17,HM02,Fly,Flying
18,HM02,Fly,Flying
21,HM02,Fly,Flying
22,HM02,Fly,Flying
83,HM02,Fly,Flying
84,HM02,Fly,Flying
85,HM02,Fly,Flying
142,HM02,Fly,Flying
144,HM02,Fly,Flying
145,HM02,Fly,Flying
146,HM02,Fly,Flying
151,HM02,Fly,Flying
6,HM02Y,Fly,Flying
7,HM03,Surf,Water
8,HM03,Surf,Water
9,HM03,Surf,Water
31,HM03,Surf,Water
34,HM03,Surf,Water
54,HM03,Surf,Water
55,HM03,Surf,Water
60,HM03,Surf,Water
61,HM03,Surf,Water
62,HM03,Surf,Water
72,HM03,Surf,Water
73,HM03,Surf,Water
79,HM03,Surf,Water
80,HM03,Surf,Water
86,HM03,Surf,Water
87,HM03,Surf,Water
90,HM03,Surf,Water
91,HM03,Surf,Water
98,HM03,Surf,Water
99,HM03,Surf,Water
108,HM03,Surf,Water
112,HM03,Surf,Water
115,HM03,Surf,Water
116,HM03,Surf,Water
117,HM03,Surf,Water
118,HM03,Surf,Water
119,HM03,Surf,Water
120,HM03,Surf,Water
121,HM03,Surf,Water
130,HM03,Surf,Water
131,HM03,Surf,Water
134,HM03,Surf,Water
138,HM03,Surf,Water
139,HM03,Surf,Water
140,HM03,Surf,Water
141,HM03,Surf,Water
143,HM03,Surf,Water
147,HM03,Surf,Water
148,HM03,Surf,Water
149,HM03,Surf,Water
151,HM03,Surf,Water
4,HM04,Strength,Normal
5,HM04,Strength,Normal
6,HM04,Strength,Normal
7,HM04,Strength,Normal
8,HM04,Strength,Normal
9,HM04,Strength,Normal
24,HM04,Strength,Normal
27,HM04,Strength,Normal
28,HM04,Strength,Normal
31,HM04,Strength,Normal
34,HM04,Strength,Normal
35,HM04,Strength,Normal
36,HM04,Strength,Normal
39,HM04,Strength,Normal
40,HM04,Strength,Normal
54,HM04,Strength,Normal
55,HM04,Strength,Normal
56,HM04,Strength,Normal
57,HM04,Strength,Normal
61,HM04,Strength,Normal
62,HM04,Strength,Normal
66,HM04,Strength,Normal
67,HM04,Strength,Normal
68,HM04,Strength,Normal
74,HM04,Strength,Normal
75,HM04,Strength,Normal
76,HM04,Strength,Normal
79,HM04,Strength,Normal
80,HM04,Strength,Normal
86,HM04,Strength,Normal
87,HM04,Strength,Normal
94,HM04,Strength,Normal
95,HM04,Strength,Normal
98,HM04,Strength,Normal
99,HM04,Strength,Normal
103,HM04,Strength,Normal
104,HM04,Strength,Normal
105,HM04,Strength,Normal
106,HM04,Strength,Normal
107,HM04,Strength,Normal
108,HM04,Strength,Normal
111,HM04,Strength,Normal
112,HM04,Strength,Normal
113,HM04,Strength,Normal
115,HM04,Strength,Normal
125,HM04,Strength,Normal
126,HM04,Strength,Normal
127,HM04,Strength,Normal
128,HM04,Strength,Normal
130,HM04,Strength,Normal
131,HM04,Strength,Normal
143,HM04,Strength,Normal
149,HM04,Strength,Normal
150,HM04,Strength,Normal
151,HM04,Strength,Normal
25,HM05,Flash,Normal
26,HM05,Flash,Normal
35,HM05,Flash,Normal
36,HM05,Flash,Normal
39,HM05,Flash,Normal
40,HM05,Flash,Normal
63,HM05,Flash,Normal
64,HM05,Flash,Normal
65,HM05,Flash,Normal
79,HM05,Flash,Normal
80,HM05,Flash,Normal
81,HM05,Flash,Normal
82,HM05,Flash,Normal
96,HM05,Flash,Normal
97,HM05,Flash,Normal
100,HM05,Flash,Normal
101,HM05,Flash,Normal
113,HM05,Flash,Normal
120,HM05,Flash,Normal
121,HM05,Flash,Normal
122,HM05,Flash,Normal
125,HM05,Flash,Normal
135,HM05,Flash,Normal
137,HM05,Flash,Normal
145,HM05,Flash,Normal
150,HM05,Flash,Normal
151,HM05,Flash,Normal
12,HM05Y,Flash,Normal
48,HM05Y,Flash,Normal
49,HM05Y,Flash,Normal
4,TM01,Mega Punch,Normal
5,TM01,Mega Punch,Normal
6,TM01,Mega Punch,Normal
7,TM01,Mega Punch,Normal
8,TM01,Mega Punch,Normal
9,TM01,Mega Punch,Normal
25,TM01,Mega Punch,Normal
26,TM01,Mega Punch,Normal
31,TM01,Mega Punch,Normal
34,TM01,Mega Punch,Normal
35,TM01,Mega Punch,Normal
36,TM01,Mega Punch,Normal
39,TM01,Mega Punch,Normal
40,TM01,Mega Punch,Normal
54,TM01,Mega Punch,Normal
55,TM01,Mega Punch,Normal
56,TM01,Mega Punch,Normal
57,TM01,Mega Punch,Normal
61,TM01,Mega Punch,Normal
62,TM01,Mega Punch,Normal
63,TM01,Mega Punch,Normal
64,TM01,Mega Punch,Normal
65,TM01,Mega Punch,Normal
66,TM01,Mega Punch,Normal
67,TM01,Mega Punch,Normal
68,TM01,Mega Punch,Normal
74,TM01,Mega Punch,Normal
75,TM01,Mega Punch,Normal
