Pokemon#,Level/TM/HM,Move_Name,Type,Power,Accuracy,PP,,,,,,,,,,,,,,,,,,,
1,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
1,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
1,7,Leech_Seed,Grass,Null,0.9,10,,,,,,,,,,,,,,,,,,,
1,13,Vine_Whip,Grass,35,1,10,,,,,,,,,,,,,,,,,,,
1,20,Poison_Powder,Poison,Null,0.75,35,,,,,,,,,,,,,,,,,,,
1,27,Razer_Leaf,Grass,55,0.95,25,,,,,,,,,,,,,,,,,,,
1,34,Growth,Normal,Null,Null,40,,,,,,,,,,,,,,,,,,,
1,41,Sleep_Powder,Grass,Null,0.75,15,,,,,,,,,,,,,,,,,,,
1,48,Solar_Beam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
1,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
1,TM03,Swords Dance,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
1,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
1,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
1,TM09,Take Down,Poison,90,0.85,20,,,,,,,,,,,,,,,,,,,
1,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
1,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
1,TM21,Mega Drain,Grass,40,1,10,,,,,,,,,,,,,,,,,,,
1,TM22,Solar Beam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
1,TM31,Mimic,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
1,TM32,Double Team,Normal,Null,1,15,,,,,,,,,,,,,,,,,,,
1,TM33,Reflect,Psychic,Null,1,20,,,,,,,,,,,,,,,,,,,
1,TM34,Bide,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
1,TM44,Rest,Psychic,Null,1,10,,,,,,,,,,,,,,,,,,,
1,TM50,Substitute,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
2,1,Leech Seed,Grass,Null,0.9,10,,,,,,,,,,,,,,,,,,,
2,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
2,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
2,7,Leech Seed,Grass,Null,0.9,10,,,,,,,,,,,,,,,,,,,
2,13,Vine Whip,Grass,35,1,10,,,,,,,,,,,,,,,,,,,
2,22,PoisonPowder,Poison,Null,0.75,35,,,,,,,,,,,,,,,,,,,
2,30,Razor Leaf,Grass,55,0.95,25,,,,,,,,,,,,,,,,,,,
2,38,Growth,Normal,Null,Null,40,,,,,,,,,,,,,,,,,,,
2,46,Sleep Powder,Grass,Null,0.75,15,,,,,,,,,,,,,,,,,,,
2,54,SolarBeam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
2,HM01,Cut,Normal,50,0.95,30,,,,,,,,,,,,,,,,,,,
2,TM03,Swords Dance,Normal,Null,1,30,,,,,,,,,,,,,,,,,,,
2,TM06,Toxic,Poison,Null,0.85,10,,,,,,,,,,,,,,,,,,,
2,TM08,Body Slam,Normal,85,1,15,,,,,,,,,,,,,,,,,,,
2,TM09,Take Down,Poison,90,0.85,20,,,,,,,,,,,,,,,,,,,
2,TM10,Double-Edge,Normal,100,1,15,,,,,,,,,,,,,,,,,,,
2,TM20,Rage,Normal,20,1,20,,,,,,,,,,,,,,,,,,,
2,TM21,Mega Drain,Grass,40,1,10,,,,,,,,,,,,,,,,,,,
2,TM22,Solar Beam,Grass,120,1,10,,,,,,,,,,,,,,,,,,,
2,TM31,Mimic,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
2,TM32,Double Team,Normal,Null,1,15,,,,,,,,,,,,,,,,,,,
2,TM33,Reflect,Psychic,Null,1,20,,,,,,,,,,,,,,,,,,,
2,TM34,Bide,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
2,TM44,Rest,Psychic,Null,1,10,,,,,,,,,,,,,,,,,,,
2,TM50,Substitute,Normal,Null,1,10,,,,,,,,,,,,,,,,,,,
3,1,Leech Seed,Grass,Null,0.9,10,,,,,,,,,,,,,,,,,,,
3,1,Vine Whip,Grass,35,1,10,,,,,,,,,,,,,,,,,,,
3,1,Growl,Normal,Null,1,40,,,,,,,,,,,,,,,,,,,
3,1,Tackle,Normal,35,0.95,35,,,,,,,,,,,,,,,,,,,
3,7,Leech Seed,Grass,Null,0.9,10,,,,,,,,,,,,,,,,,,,
